category,bank_slug,subject,course_semester,unit,unit_title,topic,question,option_a,option_b,option_c,option_d,correct_answer,marks,difficulty,bloom_level,co_mapping,tags
Common Engineering,engineering-mathematics-i,Engineering Mathematics I,B.Tech / Foundation,5,Vector Calculus,Vector Calculus,"In Engineering Mathematics I, what does ""Curl""?",A vector measure of the local rotational tendency of a vector field.,A vector of partial derivatives pointing in the direction of steepest increase.,The highest derivative appearing in a differential equation.,A differential equation whose variables can be separated onto opposite sides.,A,1,Hard,Analyze,CO5,"preloaded,engineering-mathematics-i,vector-calculus"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,1,Wave Optics,Wave Optics,"Which description best matches ""Interference""?",Restriction of the oscillation direction of a transverse wave.,Redistribution of intensity caused by superposition of coherent waves.,Relates induced emf to the rate of change of magnetic flux.,Bending and spreading of waves around obstacles or apertures.,B,1,Easy,Remember,CO1,"preloaded,engineering-physics,wave-optics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,1,Wave Optics,Wave Optics,"Which term is best described as: ""Bending and spreading of waves around obstacles or apertures.""",Faraday law,Gauss law,Stimulated emission,Diffraction,D,1,Medium,Understand,CO1,"preloaded,engineering-physics,wave-optics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,1,Wave Optics,Wave Optics,"In Engineering Physics, what does ""Polarization""?",Restriction of the oscillation direction of a transverse wave.,Relates induced emf to the rate of change of magnetic flux.,Represents electromagnetic energy flux density.,Emission triggered by an incident photon producing a coherent photon.,A,1,Hard,Analyze,CO1,"preloaded,engineering-physics,wave-optics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,2,Quantum Physics,Quantum Physics,"Which description best matches ""Photon""?",The wavelength associated with a moving particle.,Represents electromagnetic energy flux density.,An energy range in a solid where no allowed electron states exist.,A quantum of electromagnetic radiation with energy proportional to frequency.,D,1,Easy,Remember,CO2,"preloaded,engineering-physics,quantum-physics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,2,Quantum Physics,Quantum Physics,"Which term is best described as: ""The wavelength associated with a moving particle.""",Photon,de Broglie wavelength,Poynting vector,Semiconductor,B,1,Medium,Understand,CO2,"preloaded,engineering-physics,quantum-physics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,2,Quantum Physics,Quantum Physics,"In Engineering Physics, what does ""Uncertainty principle""?",Redistribution of intensity caused by superposition of coherent waves.,A limit on simultaneous precision of conjugate quantities such as position and momentum.,Relates electric flux through a closed surface to enclosed charge.,An energy range in a solid where no allowed electron states exist.,B,1,Hard,Analyze,CO2,"preloaded,engineering-physics,quantum-physics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,3,Solid State Physics,Solid State Physics,"Which description best matches ""Crystal lattice""?",Emission triggered by an incident photon producing a coherent photon.,A periodic arrangement of points representing repeating positions in a crystal.,The wavelength associated with a moving particle.,A quantum of electromagnetic radiation with energy proportional to frequency.,B,1,Easy,Remember,CO3,"preloaded,engineering-physics,solid-state-physics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,3,Solid State Physics,Solid State Physics,"Which term is best described as: ""An energy range in a solid where no allowed electron states exist.""",Band gap,Diffraction,Poynting vector,Total internal reflection,A,1,Medium,Understand,CO3,"preloaded,engineering-physics,solid-state-physics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,3,Solid State Physics,Solid State Physics,"In Engineering Physics, what does ""Semiconductor""?",A material whose electrical conductivity lies between that of conductors and insulators.,Bending and spreading of waves around obstacles or apertures.,The wavelength associated with a moving particle.,A quantum of electromagnetic radiation with energy proportional to frequency.,A,1,Hard,Analyze,CO3,"preloaded,engineering-physics,solid-state-physics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,4,Lasers and Fiber Optics,Lasers and Fiber Optics,"Which description best matches ""Stimulated emission""?",Emission triggered by an incident photon producing a coherent photon.,A quantum of electromagnetic radiation with energy proportional to frequency.,A material whose electrical conductivity lies between that of conductors and insulators.,Redistribution of intensity caused by superposition of coherent waves.,A,1,Easy,Remember,CO4,"preloaded,engineering-physics,lasers-and-fiber-optics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,4,Lasers and Fiber Optics,Lasers and Fiber Optics,"Which term is best described as: ""A condition in which more particles occupy an excited state than a lower state.""",Population inversion,Gauss law,Faraday law,Uncertainty principle,A,1,Medium,Understand,CO4,"preloaded,engineering-physics,lasers-and-fiber-optics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,4,Lasers and Fiber Optics,Lasers and Fiber Optics,"In Engineering Physics, what does ""Total internal reflection""?",Relates electric flux through a closed surface to enclosed charge.,Complete reflection occurring when light travels from denser to rarer medium beyond the critical angle.,Emission triggered by an incident photon producing a coherent photon.,A condition in which more particles occupy an excited state than a lower state.,B,1,Hard,Analyze,CO4,"preloaded,engineering-physics,lasers-and-fiber-optics"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,5,Electromagnetism,Electromagnetism,"Which description best matches ""Gauss law""?",A material whose electrical conductivity lies between that of conductors and insulators.,Relates electric flux through a closed surface to enclosed charge.,The wavelength associated with a moving particle.,A condition in which more particles occupy an excited state than a lower state.,B,1,Easy,Remember,CO5,"preloaded,engineering-physics,electromagnetism"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,5,Electromagnetism,Electromagnetism,"Which term is best described as: ""Relates induced emf to the rate of change of magnetic flux.""",Photon,Stimulated emission,Faraday law,Band gap,C,1,Medium,Understand,CO5,"preloaded,engineering-physics,electromagnetism"
Common Engineering,engineering-physics,Engineering Physics,B.Tech / Foundation,5,Electromagnetism,Electromagnetism,"In Engineering Physics, what does ""Poynting vector""?",A limit on simultaneous precision of conjugate quantities such as position and momentum.,A condition in which more particles occupy an excited state than a lower state.,Represents electromagnetic energy flux density.,Restriction of the oscillation direction of a transverse wave.,C,1,Hard,Analyze,CO5,"preloaded,engineering-physics,electromagnetism"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,1,Water Technology,Water Technology,"Which description best matches ""Hardness""?",The presence of dissolved multivalent ions that interfere with soap action.,An electrochemical cell that converts spontaneous chemical energy into electrical energy.,Deterioration of a material through chemical or electrochemical interaction with its environment.,The process of joining monomers to form macromolecules.,A,1,Easy,Remember,CO1,"preloaded,engineering-chemistry,water-technology"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,1,Water Technology,Water Technology,"Which term is best described as: ""A water-treatment process that swaps undesirable ions with ions on a resin.""",Ion exchange,Reverse osmosis,Cetane number,Electrode potential,A,1,Medium,Understand,CO1,"preloaded,engineering-chemistry,water-technology"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,1,Water Technology,Water Technology,"In Engineering Chemistry, what does ""Reverse osmosis""?",The process of joining monomers to form macromolecules.,A membrane process driven by pressure to separate dissolved solutes from water.,A water-treatment process that swaps undesirable ions with ions on a resin.,The heat released by complete combustion of a unit quantity of fuel.,B,1,Hard,Analyze,CO1,"preloaded,engineering-chemistry,water-technology"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,2,Electrochemistry,Electrochemistry,"Which description best matches ""Galvanic cell""?",The process of joining monomers to form macromolecules.,A measure of diesel fuel ignition quality.,The presence of dissolved multivalent ions that interfere with soap action.,An electrochemical cell that converts spontaneous chemical energy into electrical energy.,D,1,Easy,Remember,CO2,"preloaded,engineering-chemistry,electrochemistry"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,2,Electrochemistry,Electrochemistry,"Which term is best described as: ""The potential difference associated with an electrode and its electrolyte.""",Electrode potential,Polymerization,Calorific value,Ion exchange,A,1,Medium,Understand,CO2,"preloaded,engineering-chemistry,electrochemistry"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,2,Electrochemistry,Electrochemistry,"In Engineering Chemistry, what does ""Corrosion""?",A material with structural features typically in the 1 to 100 nanometer range.,Deterioration of a material through chemical or electrochemical interaction with its environment.,A membrane process driven by pressure to separate dissolved solutes from water.,The process of joining monomers to form macromolecules.,B,1,Hard,Analyze,CO2,"preloaded,engineering-chemistry,electrochemistry"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,3,Polymers,Polymers,"Which description best matches ""Polymerization""?",The potential difference associated with an electrode and its electrolyte.,A green-chemistry measure of how efficiently reactant atoms appear in the desired product.,The process of joining monomers to form macromolecules.,An electrochemical cell that converts spontaneous chemical energy into electrical energy.,C,1,Easy,Remember,CO3,"preloaded,engineering-chemistry,polymers"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,3,Polymers,Polymers,"Which term is best described as: ""A polymer that softens repeatedly on heating and hardens on cooling.""",Cetane number,Hardness,Nanomaterial,Thermoplastic,D,1,Medium,Understand,CO3,"preloaded,engineering-chemistry,polymers"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,3,Polymers,Polymers,"In Engineering Chemistry, what does ""Thermoset""?",A water-treatment process that swaps undesirable ions with ions on a resin.,A cross-linked polymer that does not remelt after curing.,A material with structural features typically in the 1 to 100 nanometer range.,A measure of diesel fuel ignition quality.,B,1,Hard,Analyze,CO3,"preloaded,engineering-chemistry,polymers"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,4,Fuels and Combustion,Fuels and Combustion,"Which description best matches ""Calorific value""?",The heat released by complete combustion of a unit quantity of fuel.,A measure of diesel fuel ignition quality.,Deterioration of a material through chemical or electrochemical interaction with its environment.,A water-treatment process that swaps undesirable ions with ions on a resin.,A,1,Easy,Remember,CO4,"preloaded,engineering-chemistry,fuels-and-combustion"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,4,Fuels and Combustion,Fuels and Combustion,"Which term is best described as: ""A measure of gasoline resistance to knocking in spark-ignition engines.""",Nanomaterial,Octane number,Thermoset,Ion exchange,B,1,Medium,Understand,CO4,"preloaded,engineering-chemistry,fuels-and-combustion"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,4,Fuels and Combustion,Fuels and Combustion,"In Engineering Chemistry, what does ""Cetane number""?",The potential difference associated with an electrode and its electrolyte.,A measure of diesel fuel ignition quality.,The heat released by complete combustion of a unit quantity of fuel.,A cross-linked polymer that does not remelt after curing.,B,1,Hard,Analyze,CO4,"preloaded,engineering-chemistry,fuels-and-combustion"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,5,Nanomaterials and Green Chemistry,Nanomaterials and Green Chemistry,"Which description best matches ""Nanomaterial""?",A material with structural features typically in the 1 to 100 nanometer range.,The potential difference associated with an electrode and its electrolyte.,The heat released by complete combustion of a unit quantity of fuel.,A cross-linked polymer that does not remelt after curing.,A,1,Easy,Remember,CO5,"preloaded,engineering-chemistry,nanomaterials-and-green-chemistry"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,5,Nanomaterials and Green Chemistry,Nanomaterials and Green Chemistry,"Which term is best described as: ""A substance that changes reaction rate without being consumed overall.""",Nanomaterial,Cetane number,Catalyst,Corrosion,C,1,Medium,Understand,CO5,"preloaded,engineering-chemistry,nanomaterials-and-green-chemistry"
Common Engineering,engineering-chemistry,Engineering Chemistry,B.Tech / Foundation,5,Nanomaterials and Green Chemistry,Nanomaterials and Green Chemistry,"In Engineering Chemistry, what does ""Atom economy""?",A polymer that softens repeatedly on heating and hardens on cooling.,A cross-linked polymer that does not remelt after curing.,A green-chemistry measure of how efficiently reactant atoms appear in the desired product.,Deterioration of a material through chemical or electrochemical interaction with its environment.,C,1,Hard,Analyze,CO5,"preloaded,engineering-chemistry,nanomaterials-and-green-chemistry"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,1,DC Circuits,DC Circuits,"Which description best matches ""Ohm law""?",An instrument connected in series to measure electric current.,The algebraic sum of currents at a node is zero.,Opposition to alternating current caused by inductance or capacitance.,The voltage across a resistor equals current multiplied by resistance under linear conditions.,D,1,Easy,Remember,CO1,"preloaded,basic-electrical-engineering,dc-circuits"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,1,DC Circuits,DC Circuits,"Which term is best described as: ""The algebraic sum of currents at a node is zero.""",Impedance,Kirchhoff current law,Induction motor,Ammeter,B,1,Medium,Understand,CO1,"preloaded,basic-electrical-engineering,dc-circuits"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,1,DC Circuits,DC Circuits,"In Basic Electrical Engineering, what does ""Kirchhoff voltage law""?",Opposition to alternating current caused by inductance or capacitance.,The algebraic sum of voltages around a closed loop is zero.,The algebraic sum of currents at a node is zero.,The complex opposition a circuit presents to alternating current.,B,1,Hard,Analyze,CO1,"preloaded,basic-electrical-engineering,dc-circuits"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,2,AC Circuits,AC Circuits,"Which description best matches ""Reactance""?",Opposition to alternating current caused by inductance or capacitance.,The voltage across a resistor equals current multiplied by resistance under linear conditions.,An AC motor in which rotor current is induced by the stator magnetic field.,The ratio of secondary to primary turns that determines ideal voltage transformation.,A,1,Easy,Remember,CO2,"preloaded,basic-electrical-engineering,ac-circuits"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,2,AC Circuits,AC Circuits,"Which term is best described as: ""The complex opposition a circuit presents to alternating current.""",Impedance,Kirchhoff voltage law,Transformer,Ammeter,A,1,Medium,Understand,CO2,"preloaded,basic-electrical-engineering,ac-circuits"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,2,AC Circuits,AC Circuits,"In Basic Electrical Engineering, what does ""Power factor""?",The ratio of secondary to primary turns that determines ideal voltage transformation.,A machine that converts DC electrical energy into mechanical energy.,Transformer loss mainly caused by hysteresis and eddy currents in the magnetic core.,The ratio of real power to apparent power in an AC circuit.,D,1,Hard,Analyze,CO2,"preloaded,basic-electrical-engineering,ac-circuits"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,3,Transformers,Transformers,"Which description best matches ""Transformer""?",Opposition to alternating current caused by inductance or capacitance.,A static device that transfers AC power between circuits by electromagnetic induction.,Transformer loss mainly caused by hysteresis and eddy currents in the magnetic core.,A machine that converts DC electrical energy into mechanical energy.,B,1,Easy,Remember,CO3,"preloaded,basic-electrical-engineering,transformers"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,3,Transformers,Transformers,"Which term is best described as: ""The ratio of secondary to primary turns that determines ideal voltage transformation.""",Kirchhoff voltage law,Core loss,Ohm law,Turns ratio,D,1,Medium,Understand,CO3,"preloaded,basic-electrical-engineering,transformers"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,3,Transformers,Transformers,"In Basic Electrical Engineering, what does ""Core loss""?",The ratio of secondary to primary turns that determines ideal voltage transformation.,Transformer loss mainly caused by hysteresis and eddy currents in the magnetic core.,The speed of the rotating magnetic field determined by supply frequency and number of poles.,A static device that transfers AC power between circuits by electromagnetic induction.,B,1,Hard,Analyze,CO3,"preloaded,basic-electrical-engineering,transformers"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,4,Electrical Machines,Electrical Machines,"Which description best matches ""DC motor""?",A machine that converts DC electrical energy into mechanical energy.,An AC motor in which rotor current is induced by the stator magnetic field.,The complex opposition a circuit presents to alternating current.,The ratio of real power to apparent power in an AC circuit.,A,1,Easy,Remember,CO4,"preloaded,basic-electrical-engineering,electrical-machines"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,4,Electrical Machines,Electrical Machines,"Which term is best described as: ""An AC motor in which rotor current is induced by the stator magnetic field.""",Ammeter,Induction motor,Reactance,Turns ratio,B,1,Medium,Understand,CO4,"preloaded,basic-electrical-engineering,electrical-machines"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,4,Electrical Machines,Electrical Machines,"In Basic Electrical Engineering, what does ""Synchronous speed""?",The speed of the rotating magnetic field determined by supply frequency and number of poles.,A machine that converts DC electrical energy into mechanical energy.,An instrument connected in parallel to measure potential difference.,The ratio of real power to apparent power in an AC circuit.,A,1,Hard,Analyze,CO4,"preloaded,basic-electrical-engineering,electrical-machines"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,5,Measurements and Safety,Measurements and Safety,"Which description best matches ""Ammeter""?",The algebraic sum of currents at a node is zero.,The ratio of real power to apparent power in an AC circuit.,An instrument connected in series to measure electric current.,Opposition to alternating current caused by inductance or capacitance.,C,1,Easy,Remember,CO5,"preloaded,basic-electrical-engineering,measurements-and-safety"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,5,Measurements and Safety,Measurements and Safety,"Which term is best described as: ""An instrument connected in parallel to measure potential difference.""",Kirchhoff voltage law,Voltmeter,Power factor,Core loss,B,1,Medium,Understand,CO5,"preloaded,basic-electrical-engineering,measurements-and-safety"
Common Engineering,basic-electrical-engineering,Basic Electrical Engineering,B.Tech / Foundation,5,Measurements and Safety,Measurements and Safety,"In Basic Electrical Engineering, what does ""Earthing""?",A static device that transfers AC power between circuits by electromagnetic induction.,Transformer loss mainly caused by hysteresis and eddy currents in the magnetic core.,A safety connection that provides a low-impedance path for fault current to ground.,The ratio of real power to apparent power in an AC circuit.,C,1,Hard,Analyze,CO5,"preloaded,basic-electrical-engineering,measurements-and-safety"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,1,Forces and Equilibrium,Forces and Equilibrium,"Which description best matches ""Resultant force""?",The maximum static friction just before relative motion begins.,The geometric center of an area or volume.,A single force equivalent to the combined effect of a system of forces.,A geometric property describing area distribution about an axis.,C,1,Easy,Remember,CO1,"preloaded,engineering-mechanics,forces-and-equilibrium"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,1,Forces and Equilibrium,Forces and Equilibrium,"Which term is best described as: ""The turning effect of a force about a point or axis.""",Moment,Displacement,Angle of friction,Limiting friction,A,1,Medium,Understand,CO1,"preloaded,engineering-mechanics,forces-and-equilibrium"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,1,Forces and Equilibrium,Forces and Equilibrium,"In Engineering Mechanics, what does ""Equilibrium""?",The time rate of change of velocity.,A state in which the net force and net moment on a body are zero.,A geometric property describing area distribution about an axis.,The net work done on a particle equals its change in kinetic energy.,B,1,Hard,Analyze,CO1,"preloaded,engineering-mechanics,forces-and-equilibrium"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,2,Friction,Friction,"Which description best matches ""Coefficient of friction""?",The turning effect of a force about a point or axis.,The angle whose tangent equals the coefficient of friction.,A state in which the net force and net moment on a body are zero.,The ratio of limiting friction to normal reaction.,D,1,Easy,Remember,CO2,"preloaded,engineering-mechanics,friction"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,2,Friction,Friction,"Which term is best described as: ""The maximum static friction just before relative motion begins.""",Velocity,Work-energy principle,Limiting friction,Parallel-axis theorem,C,1,Medium,Understand,CO2,"preloaded,engineering-mechanics,friction"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,2,Friction,Friction,"In Engineering Mechanics, what does ""Angle of friction""?",The angle whose tangent equals the coefficient of friction.,The maximum static friction just before relative motion begins.,The geometric center of an area or volume.,The time rate of change of velocity.,A,1,Hard,Analyze,CO2,"preloaded,engineering-mechanics,friction"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,3,Centroid and Moment of Inertia,Centroid and Moment of Inertia,"Which description best matches ""Centroid""?","The time integral of force, equal to change in linear momentum.",The geometric center of an area or volume.,A state in which the net force and net moment on a body are zero.,The net work done on a particle equals its change in kinetic energy.,B,1,Easy,Remember,CO3,"preloaded,engineering-mechanics,centroid-and-moment-of-inertia"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,3,Centroid and Moment of Inertia,Centroid and Moment of Inertia,"Which term is best described as: ""A geometric property describing area distribution about an axis.""",Coefficient of friction,Second moment of area,Limiting friction,Resultant force,B,1,Medium,Understand,CO3,"preloaded,engineering-mechanics,centroid-and-moment-of-inertia"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,3,Centroid and Moment of Inertia,Centroid and Moment of Inertia,"In Engineering Mechanics, what does ""Parallel-axis theorem""?",Relates moment of inertia about any parallel axis to that about the centroidal axis.,The time rate of change of displacement.,The ratio of limiting friction to normal reaction.,The turning effect of a force about a point or axis.,A,1,Hard,Analyze,CO3,"preloaded,engineering-mechanics,centroid-and-moment-of-inertia"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,4,Kinematics,Kinematics,"Which description best matches ""Displacement""?",A single force equivalent to the combined effect of a system of forces.,The vector change in position of a particle.,The maximum static friction just before relative motion begins.,The net force on a body equals mass times acceleration.,B,1,Easy,Remember,CO4,"preloaded,engineering-mechanics,kinematics"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,4,Kinematics,Kinematics,"Which term is best described as: ""The time rate of change of displacement.""",Displacement,Angle of friction,Velocity,Resultant force,C,1,Medium,Understand,CO4,"preloaded,engineering-mechanics,kinematics"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,4,Kinematics,Kinematics,"In Engineering Mechanics, what does ""Acceleration""?",The time rate of change of velocity.,A geometric property describing area distribution about an axis.,The ratio of limiting friction to normal reaction.,The time rate of change of displacement.,A,1,Hard,Analyze,CO4,"preloaded,engineering-mechanics,kinematics"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,5,Dynamics,Dynamics,"Which description best matches ""Newton second law""?",Relates moment of inertia about any parallel axis to that about the centroidal axis.,A state in which the net force and net moment on a body are zero.,The net force on a body equals mass times acceleration.,The geometric center of an area or volume.,C,1,Easy,Remember,CO5,"preloaded,engineering-mechanics,dynamics"
Common Engineering,engineering-mechanics,Engineering Mechanics,B.Tech / Foundation,5,Dynamics,Dynamics,"Which term is best described as: ""The time integral of force, equal to change in linear momentum.""",Work-energy principle,Newton second law,Moment,Impulse,D,1,Medium,Understand,CO5,"preloaded,engineering-mechanics,dynamics"
